,input,pred,output
2075,sansathaan,संसाथान,संसथान
2076,chhednaa,चेदना,छेड़ना
2077,rasyanik,रस्यािक,रसायनिक
2078,time,टीमेए,टाइम
2079,cronfrencing,क्रॉनफिंसिंग,क्रान्फ्रेंसिंग
2080,siyaha,सियाहा,सियाह
2081,kshetron,क्षेत्रों,क्षेत्राें
2082,gairairaadatan,गैरैटाकेन,गैरइरादतन
2083,gravita,ग्रविता,ग्रविटा
2084,svaatan,स्वातन,स्वातं
2085,tahkhaana,तखखाना,तहखाना
2086,maadheekhedhaa,मधेधीखा,माड़ीखेड़ा
2087,haqeeqat,हकीवकत,हकीकत
2088,parween,परवीन,परवीन
2089,jalbhrav,जल्भरव,जलभराव
2090,camstudio,कैस्ट्मिययो,कैमस्टूडियो
2091,tasir,तासर,तासीर
2092,daisy,डैसी,डेजी
2093,cdyaan,स्डायन,सीडीयां
2094,walters,वाल्टर्स,वाल्टर्स
2095,awasthaen,असवाथाएं,अवस्थाएं
2096,harpaal,हरपाल,हरपाल
2097,takreeban,तक्रबान,तक़रीबन
2098,junagadh,जुनाध,जूनागढ़
2099,mahaanagarawaasiyon,महाागरवासियों,महानगरवासियों
2100,sanskrutiyan,संस्कुरितययं,संस्कृतियां
2101,jushantan,जुषाननन,जुशान्तान
2102,naqab,नकाब,नक़ाब
2103,shurooh,शुरूह,शुरूः
2104,adangaa,अदंगा,अड़ंगा
2105,sadaqen,सदककें,सडक़ें
2106,shrabon,श्रबोों,शराबों
2107,prathmikta,प्राथ्मिका,प्राथमिकता
2108,registan,रिजस्टान,रेगिस्तान
2109,hairatangenz,हैरांटंजें,हैरतअंगेज़
2110,ghumaee,घुमाई,घुमाई
2111,maarvaad,मारवाड़,मारवाड़
2112,vesh,वेश,वेश
2113,peachtree,पेच्त्री,पीचट्री
2114,beck,बीकेक,बेक
2115,jivanshaili,जिवाशनेली,जीवनशैली
2116,vipanak,विपाक,विपणक
2117,dubhashiyon,दुभाशियों,दुभाषियों
2118,theatrs,थेट््र्स,थियेटर्स
2119,naagrik,नाग्रिक,नागारिक
2120,khaayal,खायल,क़ायल
2121,mhantam,म्नाथम,महानतम
2122,daramyaanee,दर्मायाी,दरम्यानी
2123,brigade,ब्रागिड,ब्रिगेड
2124,suven,सुवें,सुवेन
2125,sawaal,सवाल,सवाल
2126,vivekaadheen,विवेखकीन,विवेकाधीन
2127,utpeedan,उत्पीन,उत्पीडऩ
2128,majboori,मजबूरी,मज़बूरी
2129,protekts,प्रोटक्ट्ट,प्रोटेक्ट्स
2130,shakhsiyaten,शख्यासेें,शख्सियतें
2131,titagarh,तितागर,टीटागढ़
2132,gaye,गेय,गए
2133,pipli,पिपली,पिपली
2134,rashtrak,रश्त्कक,राष्ट्रक
2135,taswaaron,तासवरों,तस्वारों
2136,thirake,तिरेक,थिरके
2137,mehman,मेहमन,मेहमान
2138,tuberculosis,टाबररसोसिसस,ट्यूबरक्यूलोसिस
2139,tadad,ताड़द,तदाद
2140,dhabhaashaaraa,धभाशारा,धभाशारा
2141,wipkha,विख्ाा,विप्ख
2142,darjano,दर्ाजों,दर्जनों
2143,offshore,ओफफसेर,ऑफशोर
2144,titan,तितान,टाइटन
2145,aadaan,आदान,आदान
2146,murmur,मुरमुर,मरमर
2147,jayalalithaa,जलालियाा,जयललिता
2148,raaj,राज,राज
2149,qiwi,किवी,क्यूआईडब्ल्यूआई
2150,grishmotsav,ग्रिस्थोमवव,ग्रीष्मोत्सव
2151,jaun,जौन,जौं
2152,paarampariktaa,पारमपररिकाता,पारंपरिकता
2153,jewaab,जेवाब,जेवाब
2154,alliance,एल्लियेन,एलियंस
2155,deepan,दीपन,दीपन
2156,mardani,मारदानी,मरदानी
2157,urgent,जर््ें,अर्जेंट
2158,lahlahati,लहलहाती,लहलहाती
2159,taapti,तापती,ताप्ती
2160,adani,अदानी,अदाणी
2161,caplin,कैपलिन,कैपलिन
2162,chikitsaevam,चिकितससवा,चिकित्साएवं
2163,kashyap,कश्यप,कश्यप
2164,doudaate,दौड़ते,दौड़ाते
2165,kapoor,कपूर,कपूर
2166,uthnee,उठनी,उठनी
2167,deniar,डेनियर,डेनिअर
2168,alaps,अलाप्स,ऐल्प्स
2169,gujaarane,गुजारने,गुजारने
2170,sudip,सुदीप,सुदीप
2171,cigniti,सिटिनिी,सिग्निटी
2172,navaa,नवा,नवा
2173,canton,कैनटों,कैंटन
2174,chandramaon,चंद्रमाओं,चंद्रमाओं
2175,madison,मदिसों,मेडिसन
2176,ghrutakumaaree,घुरत्कुममी,घृतकुमारी
2177,bechkar,बेचकर,बेचकर
2178,hokhat,होखत,होखत
2179,abbott,अब्बोट,एबोट
2180,parikhaen,परिखाएं,परीक्षाएं
2181,aitraz,अत्राज,ऐतराज़
2182,lokotsaw,लोकोतास,लोकोत्सव
2183,damle,डमले,दामले
2184,engeline,एंजलिने,एंजेलिन
2185,gazi,गजीी,गाज़ी
2186,patravaliyan,पत्रवालियां,पत्रावलियां
2187,rishtey,रिश्टे,रिश्ते
2188,dish,दिश,डिश
2189,survanaa,सुरवाना,सुर्वणा
2190,farheen,फररीन,फरहीन
2191,diyotsiddh,दियोतिस्धि,दियोटसिद्ध
2192,bhaate,भाते,भाते
2193,laalaparee,लालपररी,लालपरी
2194,cochin,कोचिन,कोचीन
2195,gail,गैल,गेल
2196,rahegi,रहहीग,रहेगी
2197,furti,फुर्टी,फूर्ति
2198,chhah,छाह,छह
2199,pfaudler,फ्पोडर,फाउडलर
2200,asphault,अस्फुल्ट,एस्फाल्ट
2201,buddhizeevon,बुद्धियेवों,बुद्धिजीवों
2202,pitne,पिटन,पीटने
2203,chidchidapan,चिदिदाापन,चिड़चिड़ापन
2204,samshayon,समशयों,संशयों
2205,generic,जेनरिक,जेनरिक
2206,varshiya,वर्षिया,वर्षिय
2207,zydus,जेयुड,ज़ाइडस
2208,eksclation,इक्स्लेशन,एक्सक्लेशन
2209,baangarotiya,बांगरोतिया,बांगरोटिया
2210,raichur,रैचुर,रायचूर
2211,raktadataon,रक्ततादों,रक्तदाताओं
2212,alo,अलो,एएलओ
2213,ladeen,लादीन,लड़ीं
2214,dabi,दबी,डाबी
2215,dalton,डालोट,डाल्टन
2216,gulf,गुफ्ल,गल्फ
2217,roopi,रूपी,रूपी
2218,airtel,इइर्टल,एयरटेल
2219,kiratpur,किरतपुर,कीरतपुर
2220,kidwai,किदवाई,किदवई
2221,agniyaan,अग्नियां,अग्नियां
2222,udakishuganj,उदक्षागुंज,उदाकिशुनगंज
2223,taskheer,ताश्खर,तसखीर
2224,bolateen,बोलातीन,बोलतीं
2225,kangan,कंगन,कंगन
2226,kanindham,कनिंधाम,कनिंघम
2227,gudepu,गुदेपु,गुडेपु
2228,emi,एमी,एमी
2229,fefda,फेफा,फेफड़ा
2230,manchiya,मंचिया,मंचीय
2231,maloun,मौल,मलौन
2232,udaa,उदा,उदा
2233,balaatkaariyon,बालातिरायों,बलात्कारियों
2234,pradhan,प्रधान,प्रधान
2235,tolasan,टोलासन,तोलासन
2236,pradhaannagar,प्राधननरग,प्रधाननगर
2237,pratibaddhata,प्रतिबाद्धा,प्रतिबद्धाता
2238,randolph,रांडलॉफ,रैंडोल्फ
2239,asahi,असही,असाही
2240,stockton,स्टोककन,स्टॉकटन
2241,aankhen,अंखें,ऑंखें
2242,nishpaap,निषपपप,निष्पाप
2243,mejbaani,मेजबानी,मेजबानी
2244,joddta,जोडड्टा,जोड़ता
2245,aprihary,अपरियरह,अपरिहार्य
2246,nikaalni,निकाली,निकालनी
2247,najriyon,नाजरियों,नजरियों
2248,gujar,गुजर,गुजार
2249,raubadar,रौबादर,रौबदार
2250,bhapaai,भपाई,भपाई
2251,verification,वरीक्फिशन,वैरीफ़िकेशन
2252,rewari,रेवारी,रेवाड़ी
2253,yaaddaashta,याद्ादासत,याद्दाश्त
2254,makarh,माखर,मकरः
2255,pashtuun,पश्तुू,पश्तून
2256,blossom,ब्लोस्म,ब्लॉसम
2257,janbhaavna,जनवभान,जनभावना
2258,pratikaara,प्रतिकारा,प्रतिकारा
2259,jiwan,जिवान,जीवन
2260,sailaaneepan,सैलानीप,सैलानीपन
2261,vidyutikrit,विद्युकृतित,विद्युतीकृत
2262,sharabh,शराभ,शरभ
2263,bichbachaav,बिचाबाच,बीचबचाव
2264,harijan,हरिजन,हरिजन
2265,pakdaae,पकड़ा,पकड़ाए
2266,fijoolkharchi,फिजोखरर्खी,फिजूलखर्ची
2267,baramad,बरामाद,बरामद
2268,stanadhari,स्तानाधर,स्तनधारी
2269,sahab,सहा,साहब
2270,samadhiyon,समधधियों,समाधियों
2271,dredger,ड्रेडर,ड्रेजर
2272,dvc,डीएसवी,डीवीसी
2273,naphaa,नपाा,नफ़ा
2274,ujjain,उज्जान,उज्जैन
2275,bapaa,बपा,बापा
2276,dhandhekhori,धनखेडेररी,धंधेखोरी
2277,barker,बारकर,बार्कर
2278,yaaddaasht,याद्दश्त,याद्दाश्त
2279,wyaakhyaatmaktaa,व्याव्यक्ततााा,व्याख्यात्मकता
2280,rushikul,रुशिकुल,ऋषिकुल
2281,allrounder,अल्रोर्डर,ऑलराउंडर
2282,siragitti,सिरागितित,सिरगिट्टी
2283,mathews,माथेव्स,मेथिव्स
2284,ishaara,इशारा,इशारा
2285,perels,पेरेल,पेरेल्स
2286,kremistry,क्रेमिस्ट्री,क्रेमिस्ट्री
2287,weronika,वोरिनका,वेरोनिका
2288,navate,नवाते,नवाते
2289,nitiyon,नितियों,नितियों
2290,vishwasniiyataa,विश्वसििनाया,विश्वसनीयता
2291,anishtata,अनिष्टता,अनिष्टता
2292,formuley,फ़र्मोलय,फार्मूले
2293,isayiyon,इसायिों,ईसाइयों
2294,myers,मेयर्स,मयर्स
2295,ratlam,रत्लम,रतलाम
2296,sudeepton,सुदिपतन,सुदीप्तों
2297,zarakh,जारख,जरख
2298,namkin,नमकिन,नमकीन
2299,lalmani,ललमानी,लालमणी
2300,kaaryayojna,कार्ययोगान,कार्ययोजना
2301,sanvari,संवरी,संवरी
2302,music,मुसिक,म्यूजिक
2303,riggs,रिग्स,रिग्स
2304,eeaarjee,जारीी,ईआरजी
2305,saraaymohiuddeenpur,सरामहियुदद्युूर्ण,सरायमोहिउद्दीनपुर
2306,narmi,नरमी,नरमी
2307,generat,गेनररत,जेनरेट
2308,chamakna,चमकान,चमकना
2309,seaten,सीतें,सीटें
2310,daishwala,दाशववला,डैशवाला
2311,spell,स्पेल,स्पेल
2312,lodi,लोडी,लोदी
2313,ghumaan,घुमान,घुमाण
2314,dharmanirpekshtaake,धर्मााररकककक्ष्त,धर्मनिरपेक्षताके
2315,greer,ग्रीर,ग्रीर
2316,welder,वेल्डर,वेल्डर
2317,baatah,बाथा,बातः
2318,teji,तेजी,तेजी
2319,niketan,निकेतन,निकेतन
2320,singha,सिंघा,सिंहा
2321,samanwayaka,संमावका,समन्वयक
2322,cdcl,सीडीएसली,सीडीसीएल
2323,jatati,जटती,जताती
2324,nirdeshikaa,न्रिडशिकाा,निर्देशिका
2325,satuaa,सतुआ,सतुआ
2326,shrimati,श्रीमती,श्रीमति
2327,bender,बेंडर,बेंडर
2328,danbury,डेनब्र,डेनबरी
2329,israni,इसरानी,इसरानी
2330,kanthhar,कंथहर,कंठहार
2331,talve,तालवे,तलवे
2332,mahavidya,महाविद्या,महाविद्या
2333,kaaryakartriyon,कार्यक्रत्रियों,कार्यकर्त्रियों
2334,faurensis,फारनसिस,फारेंसिस
2335,veronika,वोरिनका,वेरोनिका
2336,ulhaaspur,उल्हापुर,उल्हासपुर
2337,excel,एक्सेल,एक्सेल
2338,mainan,मैनन,मैनन
2339,bhatnagar,भटनगर,भटनागर
2340,damapar,दमापर,दमपर
2341,jehe,जेहे,जेहे
2342,dynamatic,डिनामटिक,डायनामेटिक
2343,oditar,ओडितर,ऑडिटर
2344,chhawindra,चाविध्र्,छविंद्र
2345,yauniktaa,यूनिकता,यौनिकता
2346,chhejat,छेजत,छीजत
2347,pratinidhikaaree,प्रतिनिधिकीर,प्रतिनिधिकारी
2348,pilibhit,पिलिभित,पीलीभीत
2349,beaulad,ब्यूल,बेऔलाद
2350,aipp,आईपीपी,ऐप्प
2351,vikaskhand,विकासांख,विकासखण्ड
2352,crane,क्रेन,क्रेन
2353,ikhrul,हाकरल,उखरुल
2354,tewree,तेवरी,तेवरी
2355,madhya,मध्या,मध्य
2356,andaman,अंदमन,अंडमान
2357,view,वीयूव,व्यू
2358,phalodi,फलोड़ी,फलोदी
2359,kaju,काजू,काजू
2360,mckenzie,मैक्नेजी,मैकेंज़ी
2361,akapulko,अकापुकोल,अकापुल्को
2362,samjhunga,समझुंगा,समझूंगा
2363,krendron,क्रेंड्रों,क्रेन्द्रों
2364,vladimir,व्लाडिमीर,व्लादिमीर
2365,nikharegaa,निखारागा,निखरेगा
2366,johnson,जोहनसन,जॉनसन
2367,malwan,मलवान,मालवान
2368,purkayastha,पुर्क््््ाा,पुरकायस्थ
2369,nibhaegi,निभाजी,निभाएगी
2370,chataa,चटा,चता
2371,jagayega,जगाएगा,जगाएगा
2372,mohim,मोहिम,मोहिम
2373,chellani,चेललननी,चेलानी
2374,vishhin,विशिन,विषहीन
2375,ski,सीकी,स्की
2376,vruton,व्रूट,वृत्तों
2377,nividaataon,निविदाताओं,निविदाताओं
2378,abhimat,अभिमत,अभिमत
2379,dushkriyaa,दुशक्रिया,दुष्क्रिया
2380,yojnah,योजनाह,योजनाः
2381,charanbaddha,चरंबदधधा,चरणबद्घ
2382,badaa,बाड़ा,बडा़
2383,awaazen,अवाज़ें,आवाज़ें
2384,aden,एडेन,एडेन
2385,harvansh,हरववशश,हरवंश
2386,valkkan,वालककान,वल्कन
2387,adhikaran,अधिकरण,अधिकरन
2388,abdunnaasir,अब्दनससनी,अब्दुन्नासिर
2389,ibija,इबिजा,इबीजा
2390,saatsera,सासतेरा,सातसेरा
2391,nirdeshika,न्रिडशिका,निर्देशिका
2392,belinda,बेलिंडा,बेलिंडा
2393,ventura,वेंतुरा,वेंचुरा
2394,dukaanon,दुकानों,दुकानों
2395,tagde,ताग्डे,तगड़े
2396,bhadkaayaa,भदकाया,भड़काया
2397,pharse,फार्स,फरसे
2398,padhata,पढ़ता,पढ़ाता
2399,pudukkottai,पुदुकक्ततिि,पुदुकोट्टई
2400,badhna,बढ़ना,बढना
2401,sangrur,संग्रु,संगरूर
2402,last,लससट,लास्ट
2403,hr,आरआ,एचआर
2404,font,फॉंट,फॉन्ट
2405,berwyn,बर्वियन,बर्विन
2406,bago,बागो,बागो
2407,shaantiyon,शान्यियों,शांतियों
2408,visheshanon,विशेशनों,विशेषणों
2409,transistor,ट्रासिंस्टर,ट्रांजिस्टर
2410,thiyeters,टियेशर्ट,थियेटर्स
2411,tyauharon,त्याहरों,त्यौहारों
2412,ahuja,अहुआ,आहूजा
2413,pakshpat,पक्षपत,पक्षपात
2414,caitlyn,कैइट्लिन,कैटलिन
2415,pruitt,प्रूट्ट,प्रूट
2416,teeron,तिरों,तीरों
2417,shaniwar,शनीवर,शनिवार
2418,bieseses,बियसस,बीएसएसएस
2419,sevalaa,सेवाला,सेवाला
2420,garibon,गरिबों,ग़रीबों
2421,insaano,इनसाोो,इंसानो
2422,ginte,गिन्टे,गिनते
2423,cryptocurrencyon,स्रिपोक्ट्रोन्निय,क्रिप्टोकरेंसियों
2424,anyaya,अन्यया,अन्याय
2425,partanee,परतनी,परतानी
2426,tomar,टोमर,तोमर
2427,financiers,फिननिस्र्स,फाइनेंसर्स
2428,siratee,सिरती,सिरती
2429,sarsaa,सरसा,सरसा
2430,ghontana,घोंटाना,घोंटना
2431,aurora,ओरोरा,औरोरा
2432,dukke,दुकके,दुक्के
2433,jabalpur,जबलपुर,जबलपुर
2434,gaanv,गानव,गॉंव
2435,jerusalem,जेरुसलम,येरुशलम
2436,deshsewa,देशसवा,देशसेवा
2437,torrent,टॉर्नेट,टोरेंट
2438,passengerjind,पैसंजरेंजिंड,पैसेंजरजींद
2439,rehman,रेहमन,रहमान
2440,bharatwanshee,भररावंती,भारतवंशी
2441,mhavidya,म्हविद्या,महाविद्या
2442,toledo,टोलेडो,टोलेडो
2443,todne,टोडन,तोडऩे
2444,extactor,एक्सटटक्टर,एक्सटेक्टर
2445,darshnaarthi,दर्ष्णाा््ी,दर्शनार्थी
2446,chrom,च्रोम,क्रोम
2447,vakrangee,वकरांगी,वकरंगी
2448,strasion,स्ट्रेशन,स्ट्रेशन
2449,traded,ट्राडेड,ट्रेडेड
2450,pyria,पियररिया,पाइरिया
2451,science,सिक्स,साइंस
2452,aastin,आस्तिन,आस्तीन
2453,katal,कटल,कताल
2454,coimbatore,कोमेब्टर,कोयम्बटूर
2455,pythogaras,पिथोग्रास,पाइथागोरस
2456,chakshu,चक्षु,चक्षु
2457,khurasan,खुरसन,खुरासान
2458,monte,मोंटे,मोंटे
2459,naqaab,नकाब,नक़ाब
2460,ikthiyosis,इक्थियोसिस,इक्थियोसिस
2461,marlborough,मार्लोबर्ग,मालबर
2462,machaaye,मचाये,मचाए
2463,changed,चैंडेड,चेंज्ड
2464,lozano,लोजानो,लोज़ानों
2465,balmiki,बालमिकी,बाल्मीकि
2466,rishwatkhor,रिश्वतखो,रिश्वतखोर
2467,favvara,फववरा,फव्वारा
2468,gaaligalauj,गलिजालाज़,गालीगलौज
2469,urbandale,उरबंडले,अर्बनडेल
2470,esetal,एसेटल,एसेटल
2471,jyotishyshastron,ज्योतिश्यात्र्शों,ज्योतिष्यशास्त्रों
2472,pensiondhariyon,पेंशिद्रोययंं,पेंशनधारियों
2473,pathalogist,पथलोगिस्ट,पैथेलॉजिस्ट
2474,dabochne,डाबोोन,दबोचने
2475,mahapran,महाप्रण,महाप्राण
2476,badamaashon,बादाशों,बदमाशाें
2477,charlotte,चार्लोटट,शार्लेट
2478,immachyoritee,इममच्योरिीी,इम्मैच्योरिटी
2479,hastaaksharon,हस्तक्षरोों,हस्ताक्षरों
2480,scootaron,स्कोरोटन,स्कूटरों
2481,daraatee,दराती,डराती
2482,fodo,फोडो,फोड़ों
2483,dhandhanya,धनधन्या,धनधान्य
2484,phyuchuristic,फायूक्रोसिकिट,फ्यूचुरिस्टिक
2485,vijayapuram,विजायपुरम,विजयापुरम
2486,jindagee,जिंदीगी,जिदंगी
2487,kshetradwaaraa,क्षेत्रवारवाा,क्षेत्रद्वारा
2488,meghwal,मेघवाल,मेघवाल
2489,ilectromeetar,इलक्््ट्ररटटर,इलेक्ट्रोमीटर
2490,chhupkar,छुपकर,छुपकर
2491,manzil,मंजिल,मंजिल
2492,tarikon,तारिकों,तरीक़ों
2493,udhaaradaataaon,उधारदाताओं,उधारदाताओं
2494,dinu,दिनु,दीनु
2495,danga,दंगा,दंगा
2496,pittman,पित्तमन,पिटमैन
2497,dukhiyon,दुखियों,दुखियों
2498,jyaadaa,ज्याड़ा,ज़यादा
2499,xiong,किन्ओस,शियोंग
2500,aryon,अर्यों,आर्यों
2501,dhuan,धुआ,धुआं
2502,kamtar,कम्तर,कमतर
2503,then,थेन,थेन
2504,morales,मोरलेस,मोराल्स
2505,kubuddeen,कुबुददीन,कुबुद्दीन
2506,gsm,जीएसएमएस,जीएसएम
2507,enth,एन्थ,ऐंठ
2508,poorvabhadrapad,पूरवाधारबादर,पूर्वाभाद्रपद
2509,ajasra,अजसरा,अजस्र
2510,aabru,अबारु,आबरू
2511,dablyoopeedee,बा्डपलीडी,डब्ल्यूपीडी
2512,jhabua,झबुआ,झाबुआ
2513,insurance,इनस्रर्स,इंश्योरेंस
2514,glendale,ग्लेंडे,ग्लेंडल
2515,peelepan,पेलीपन,पीलेपन
2516,bhagyeshwar,भग््येश्वर,भाग्येष्वर
2517,theateron,थेटररों,थिएटरों
2518,barahsinga,बररहसिंगा,बारहसिंगा
2519,usay,उसए,उसेे
2520,wonder,वोंडर,वंडर
2521,aparivartanshil,अपरिवश््््ाीी,अपरिवर्तनशील
2522,dabangon,डबंगों,दबंगों
2523,sakshan,सक्षण,सक्शन
2524,squash,स्वक्स,स्क्वैश
2525,nerolac,नेरोलक,नेरोलेक
2526,ropaney,रोपाने,रोपने
2527,shreemahapurn,श्रीमहरुपुर,श्रीमहापूर्ण
2528,jagruti,जग्रूती,जागृति
2529,bandhate,बंधते,बांधते
2530,rockford,रॉक्फर,रॉकफोर्ड
2531,bangsh,बंगश,बंगश
2532,multiplexon,मल्स्पलिकेनोन,मल्टिप्लेक्सों
2533,spirits,स्पिरिट्स,स्पिरिट्स
2534,loveland,लोवेलंड,लवलैंड
2535,nariyalyukt,नारिययुलक्त,नारियलयुक्त
2536,vidyaaon,विद्याओं,विद्याओं
2537,pakadkar,पकड़कर,पकडकर
2538,maarake,मारके,मारके
2539,whittier,व्यिटिटर,व्हिटियर
2540,varnavyavasthaawaadiyon,वर्णव््यावकााायियो,वर्णव्यवस्थावादियों
2541,piega,पियाग,पिएगा
2542,chimate,चिमते,चिमाते
2543,cutlery,क्ट्यरल,कटलरी
2544,phooltee,फूल्टी,फूलती
2545,lengdan,लेंगदान,लैंगडन
2546,neko,नेको,नेको
2547,testing,टेस्टिंग,टेस्टिंग
2548,fortis,फॉर्टिस,फोर्टिस
2549,adrgh,अद्र्घ,अद्र्घ
2550,parosne,पररोसे,परोसने
2551,tadanrusti,तादार्सु्ी,तदंरुस्ती
2552,khaen,खें,खाएँ
2553,teleebag,टीलाबग,तेलीबाग
2554,kerala,केराला,केरला
2555,ambience,अम्बिने,आंबियंस
2556,somvaar,सोमवार,साेमवार
2557,ecuador,इक्यूडर,इक्वाडोर
2558,arya,अर्या,आर्यों
2559,rasayanon,रसायोंं,रसायनों
2560,mrutyuniwaarak,मुरत्युनिरावक,मृत्युनिवारक
2561,bharamaa,भारमा,भरमा
2562,svaayattshasan,स्वात्यास्थन,स्वायत्तशासन
2563,bhoogol,भोगुल,भूगोल
2564,prabodhini,प्रबोधिनी,प्रबोधिनी
2565,holt,हॉल्ट,होल्ट
2566,bipin,बिपिन,बिपिन
2567,nextgen,नेस्ट्टेन,नेक्स्टजेन
2568,phaaeebrets,पालबिर्ट,फ़ाईब्रेट्स
2569,paliyon,पलियों,पालियों
2570,karaahanaa,कराहाना,कराहना
2571,lagnesh,लग्शें,लग्नेश
2572,manchiy,मंचिय,मंचीय
2573,jaden,ज़ेें,जड़ें
2574,nucleus,न्यूसल्य,न्यूक्लियस
2575,dhindhwal,धिवंधाल,ढिंडवाल
2576,latakkar,लटकककर,लटककर
2577,formulae,फ़र्मलया,फार्मूले
2578,naabhikund,नाभिकुंड,नाभिकुंड
2579,prapat,प्रापत,प्रपात
2580,buena,बुएना,बुएना
2581,somvar,सोमवर,साेमवार
2582,fasteners,फास्टेनर्स,फास्नर्स
2583,vavidyaalaya,वविद्याया,वविद्यालय
2584,trikaldarshee,त्राक्लीद्शी,त्रिकालदर्शी
2585,biolozis,ब्योलिजिस,बायोलॉजिस्
2586,niveshkartaa,निवेशक्रता,निवेशकर्ता
2587,nag,नाग,नग
2588,vaigyaanik,वैज्ञाििक,वैज्ञानिक
2589,nikalani,निकाली,निकालनी
2590,gulaabaag,गुलाबाग,गुलाबाग
2591,nagmandal,नागमामलल,नागमण्डल
2592,le,ले,ले
2593,chouhan,चूहां,चौहान
2594,baabaao,बाबाओ,बाबाओ
2595,todenge,टोडेंग,तोड़ेंगे
2596,qabzaa,कब्बााा,क़ब्ज़ा
2597,texarkana,तेक्कराकाना,टेक्सरकाना
2598,mayajaal,मयाजल,मायाजाल
2599,contracting,कंट्राइट्किं,कॉन्ट्रेक्टिंग
2600,agartala,अगरताला,अगरतला
2601,saym,सायम,सायं
2602,sayra,सारा,सायरा
2603,daftarwale,दाफ्रााले,दफ्तरवाले
2604,rasaayanik,रसायििक,रसायनिक
2605,venkatraman,वेंक्तर्ान,वेंकटरमन
2606,vinasht,विनाश्त,विनष्ट
2607,saptkraanti,सप्त्रकाति,सप्तक्रांति
2608,dhasmana,धस्माना,धस्माना
2609,slash,स्लाश,स्लैश
2610,soodkhoron,सुदोखोरों,सूदखोरों
2611,gond,गोंड,गोंद
2612,gangajal,गंगजल,गंगाजल
2613,wanon,वानों,वाणों
2614,hamlo,हमलो,हमलो
2615,jud,जुद,जूड
2616,vindhya,विंध्या,विंध्या
2617,agra,अग्रा,अग्र
2618,dekhiyegaa,देखियागा,देखियेगा
2619,sharp,शरप,शाॅर्प
2620,apar,अपर,अपर
2621,doobnewaale,दूबेनावले,डूबनेवाले
2622,dabhoi,दबोई,डभोई
2623,hollywood,हलल्यवव,हॉलीवुड
2624,antadiyan,अंतदिियां,अंतडियां
2625,rikailleebreshan,रिक्लेेेब््लन,रिकैलीब्रेशन
2626,ahitakaaree,अहितकारी,अहितकारी
2627,de,डी,डीई
2628,ragon,रागों,रागों
2629,graham,ग्रहमम,ग्राहम
2630,sapate,सपते,सपाटे
2631,vyavasthaamoolak,व्यास्लोमाााक,व्यवस्थामूलक
2632,meza,मेजा,मेज़ा
2633,sunteck,सुनटेक,सनटेक
2634,equities,इक्यूटिज,इक्विटीज
2635,grahankaal,ग्राहकाल,ग्रहणकाल
2636,tools,टूल्स,टूल्स
2637,svaayattshaasan,स्वात्यास्थान,स्वायत्तशासन
2638,acevedo,एकेवेड,एस्वेडो
2639,vargas,वरगगस,वर्गस
2640,jangan,जनगन,जनगन
2641,jamaate,जमाते,जमाती
2642,aliance,एलियास,अलायंस
2643,prayogshaastra,प्रायोस््््््र,प्रयोगशास्त्र
2644,behar,बेहर,बिहार
2645,chaudahavan,चौदवाहन,चौदहवां
2646,wlaad,व्लाड,व्लाद
2647,jatilaa,जतिला,जटिला
2648,ishat,इशत,ईष्ट
2649,rigal,रिगल,रीगल
2650,premamoolak,प्रममालूल,प्रेममूलक
2651,nabz,नब्ज,नब्ज़
2652,kamzor,कम्जोर,कमज़ोर
2653,kharuvaar,खरुवार,खरुवार
2654,karaar,करार,क़रार
2655,yudhrat,युधर्त,युद्धरत
2656,siddhaarthah,सिद्धार्थह,सिद्धार्थः
2657,nagraj,नागराज,नागराज
2658,iqbal,इक्बल,इक़बाल
2659,registerd,रिज्स्ट्र,रजिस्टर्ड
2660,dhamkata,धमकाता,धमकाता
2661,danville,डानविले,डैनविल
2662,prahaarak,प्रहारक,प्रहारक
2663,ganv,गानव,गॉंव
2664,sabhaar,सभार,साभार
2665,miktaam,मिक्तम,मिकटॉम
2666,holidays,होलीडास,होलिडेस
2667,macon,मैकों,मैकॉन
2668,nau,नौ,नाऊ
2669,bichchon,बिच्छों,बिच्चों
2670,galaxion,गालकिसन,गैलेक्सियों
2671,aagaashe,आगाशे,आगाशे
2672,chhateni,छतीनन,छतेनी
2673,heblikar,हेबलिकर,हेब्लिकर
2674,charcha,चारचा,चर्चा
2675,hoaf,होएफए,हॉफ
2676,kshatriyaadi,क्षतिर्यादि,क्षत्रियादि
2677,chune,चुने,चुने
2678,mangalsinh,मंगलसिंह,मंगलसिंह
2679,richardson,रिच्द््ोों,रिचर्डसन
2680,mhagranth,महगार्थं,महाग्रंथ
2681,vyavasthapana,व्यास्प्््ााा,व्यवस्थापना
2682,mnaey,मनई,मनाए
2683,soya,सोया,सोया
2684,everest,इवर्स्ट,एवरेस्ट
2685,gajipur,गजीपुर,गाजीपुर
2686,adanga,अदंगा,अड़ंगा
2687,panghal,पंघल,पंघाल
2688,lalkrishna,लालकृष्ण,लालकृष्ण
2689,urvarkon,उर्वकों,उर्वरकों
2690,molina,मोलिना,मोलिना
2691,jeremy,जेरमी,जेरेमी
2692,tugalki,तुलगकी,तुगलकी
2693,shantiniketan,नश्टिकेनित,शांतिनिकेतन
2694,sarvjaatiya,सर््जाियता,सर्वजातीय
2695,kumau,कुमौ,कुमाऊ
